ID,PARENT_ID,NAME,DESCRIPTION,OBJECT_OF_INTEREST,PROPERTY,CONTEXT_OBJECT
CALIBRATION_COMMENT,,Calibration Comment,Comments about calibration values
L,,Barometric Attenuation Length,Barometric attenuation length for pressure correction
N0_MOD,,N0 Mod,Count rate over dry soil under reference conditions
N_MAX,,N Max,Maximum neutron count threshold
N_MIN,,N Min,Minimum neutron count threshold
PROBE_EFFDEPTH_1M,,Probe Effective Depth 1m,"Effective depth in cm, at 1 metre from probe, on day of calibration"
PROBE_EFFDEPTH_200M,,Probe Effective Depth 200m,"Effective depth in cm, at 200 metres from probe, on day of calibration"
REF_BULKDENSITY,,Ref Bulk Density,Mean Bulk Density at most applicable effective depth (from lab analysis of soil samples)
REF_BULKDENSITY_STD,,Ref Bulk Density STD,Standard deviation of Bulk Density (from lab analysis of soil samples)
REF_C0,,REF C0,Neutron Intensity correction factor
REF_CTS_MOD_CORR,,Ref CTS Mod Corr,Reference counts for COSMOS Moderated probe
REF_LATTICEWATER,,Ref Lattice Water,Mean Lattice and bound water (from lab analysis of soil samples)
REF_LATTICEWATER_STD,,Ref Lattice Water STD,Standard deviation of Lattice and bound water (from lab analysis of soil samples)
REF_Q0,,Ref Q0,Water vapour correction factor
REF_SOC,,Ref SOC,Estimated mean Soil Organic Carbon (from lab analysis of soil samples)
REF_SOC_STD,,Ref SOC STD,Estimated Standard deviation of Soil Organic Carbon (from lab analysis of soil samples)
REF_SOIL_MOISTURE,,Ref Soil Moisture,Reference soil moisture from lab analysis on day of calibration
SOIL_COMMENT,,Ref Soil Comment,Comment on soil properties from lab analysis of field samples
SAMPLING_START_DATETIME,,Sampling Start Datetime,Start datetime of soil sampling for lab analysis
SAMPLING_END_DATETIME,,Sampling End Datetime,End datetime of soil sampling for lab analysis
PRIORITY,,Priority,A relative priority number for the annotated object.
CATCHMENT_AREA_SIZE,,Catchment Area Size,The size of the catchment area in square kilometres,REGION,AREA
OPERATOR_FACILITY_ID,,Operator Facility ID,The operator-assigned identifier of the annotated facility
