SENSOR_SLOT_ID,SENSOR_SLOT_NAME
4CR,Radiometer
BATTERY,Battery
ANEM,Anemometer
CRNS,CRNS
CRNS_BARE,CRNS bare
CRNS_SNOW,SnowFox
CRNS2,CRNS 2
ETHERNET,Ethernet Interface
GPRS,General Packet Radio Service
THP,Temperature humidity and pressure sensors
HFP1,Heat flux plate 1
HFP2,Heat flux plate 2
HYGROCLIP,Hygroclip
IMKO,IMKO
LOGGER,Logger
MODEM,Modem
PHENOCAM,PhenoCam
PHENOCAM_LENS1,PhenoCam lens 1
PHENOCAM_LENS2,PhenoCam lens 2
PLUVIO,Pluvio rain gauge
PLUVIO_CHAIN,Pluvio chain
RAINE,RainE rain gauge
RH_INT,Logger RH
SNOW_DEPTH,Snow depth sensor
SI,Sensor interface module
STP,STP
TBR,Tipping bucket rain gauge
TBR2,Tipping bucket rain gauge 2
TDT1,TDT 1
TDT10,TDT 10
TDT2,TDT 2
TDT3,TDT 3
TDT4,TDT 4
TDT5,TDT 5
TDT6,TDT 6
TDT7,TDT 7
TDT8,TDT 8
TDT9,TDT 9
